BJD - 2454833, Corrected Flux
2560.743515777, 1.000609380,
2560.763947938, 1.000457851,
2560.784379899, 1.000523234,
2560.804811959, 1.000729275,
2560.825244119, 1.000586643,
2560.845676079, 1.000391397,
2560.866108137, 1.000524650,
2560.886540295, 1.000646291,
2560.906972253, 1.000583759,
2560.927404310, 1.000439904,
2560.947836467, 1.000542119,
2561.009132634, 1.000437092,
2561.029564689, 1.000348523,
2561.049996643, 1.000402802,
2561.070428797, 1.000492680,
2561.090860850, 1.000647611,
2561.111292803, 1.000506587,
2561.131724955, 1.000367956,
2561.152156907, 1.000387207,
2561.172589058, 1.000577480,
2561.193021109, 1.000404359,
2561.233885208, 1.000410352,
2561.254317258, 1.000447156,
2561.274749207, 1.000654409,
2561.295181355, 1.000331104,
2561.315613402, 1.000400694,
2561.336045350, 1.000287724,
2561.356477496, 1.000095631,
2561.376909542, 0.999956352,
2561.397341588, 1.000028648,
2561.417773633, 1.000418121,
2561.438205678, 1.000388332,
2561.479069766, 1.000530535,
2561.499501809, 1.000306166,
2561.519933851, 1.000343078,
2561.540365993, 1.000343684,
2561.560797935, 1.000538242,
2561.581229976, 1.000343990,
2561.601662117, 1.000427046,
2561.622094057, 1.000368314,
2561.642526097, 1.000460373,
2561.662958236, 1.000426185,
2561.683390174, 1.000388841,
2561.724254350, 1.000351876,
2561.744686288, 1.000355357,
2561.765118424, 1.000509555,
2561.785550460, 1.000354102,
2561.805982396, 1.000372785,
2561.826414531, 1.000315783,
2561.846846566, 1.000375453,
2561.867278600, 1.000350947,
2561.887710633, 0.999796588,
2561.908142667, 0.999545142,
2561.928574599, 0.999376397,
2561.969438763, 0.999455033,
2561.989870694, 0.999161232,
2562.010302825, 0.999211701,
2562.030734855, 0.999276681,
2562.051166785, 0.999469097,
2562.071598914, 0.999948770,
2562.092030943, 1.000283989,
2562.112462871, 1.000263924,
2562.132894999, 1.000346528,
2562.153327026, 1.000297208,
2562.173758953, 1.000410757,
2562.214623105, 1.000442141,
2562.235055130, 1.000455279,
2562.255487155, 1.000301734,
2562.275919179, 1.000319551,
2562.296351203, 1.000377106,
2562.316783226, 0.999941427,
2562.337215249, 0.999997715,
2562.357647271, 0.999987252,
2562.378079393, 1.000295193,
2562.398511314, 1.000332872,
2562.418943335, 1.000253364,
2562.459807375, 1.000351884,
2562.480239494, 1.000281359,
2562.500671513, 1.000343849,
2562.521103432, 1.000322528,
2562.541535549, 1.000240039,
2562.561967566, 1.000355395,
2562.582399484, 1.000275473,
2562.602831600, 1.000278464,
2562.623263616, 1.000254386,
2562.643695531, 1.000299899,
2562.664127646, 1.000327480,
2562.704991574, 1.000384102,
2562.725423688, 1.000311335,
2562.745855701, 1.000323694,
2562.766287613, 1.000296537,
2562.786719725, 1.000336117,
2562.807151737, 1.000188355,
2562.827583648, 1.000291877,
2562.848015758, 1.000236408,
2562.868447768, 1.000243366,
2562.888879678, 1.000165917,
2562.909311787, 1.000260521,
2562.950175703, 1.000194878,
2562.970607811, 1.000203142,
2562.991039818, 1.000289635,
2563.011471725, 1.000275422,
2563.031903831, 1.000238020,
2563.052335836, 1.000368705,
2563.072767842, 1.000254096,
2563.093199846, 1.000216146,
2563.113631851, 1.000228667,
2563.134063854, 1.000207455,
2563.154495857, 1.000274440,
2563.195359962, 1.000313382,
2563.215791964, 1.000279249,
2563.236223865, 1.000312502,
2563.256655966, 1.000174466,
2563.277087966, 1.000064244,
2563.297519866, 0.999918761,
2563.317951965, 0.999994167,
2563.338383964, 1.000252807,
2563.358815863, 1.000196692,
2563.379247961, 1.000207583,
2563.399679858, 1.000225596,
2563.440543951, 1.000317488,
2563.460975847, 1.000211372,
2563.481407843, 1.000252848,
2563.501839938, 1.000272245,
2563.522271832, 1.000281999,
2563.542703826, 1.000086603,
2563.563135920, 1.000231782,
2563.583567913, 1.000245301,
2563.603999806, 1.000225826,
2563.624431898, 1.000243196,
2563.644863889, 1.000179424,
2563.685727871, 1.000309567,
2563.706159861, 1.000285344,
2563.726591751, 1.000235089,
2563.747023840, 1.000310486,
2563.767455829, 1.000239840,
2563.787887717, 1.000287873,
2563.808319805, 1.000056182,
2563.828751792, 1.000305866,
2563.849183679, 1.000217207,
2563.869615765, 1.000238087,
2563.890047751, 1.000222260,
2563.930911722, 1.000357289,
2563.951343706, 1.000266194,
2563.971775690, 1.000193878,
2563.992207674, 1.000376786,
2564.012639656, 1.000166724,
2564.033071739, 1.000243726,
2564.053503721, 1.000235036,
2564.073935603, 1.000155550,
2564.094367684, 1.000232669,
2564.114799564, 1.000260930,
2564.135231544, 1.000080446,
2564.176095503, 1.000313681,
2564.196527482, 1.000329439,
2564.216959561, 1.000151360,
2564.237391438, 1.000006643,
2564.257823415, 0.999956213,
2564.278255492, 1.000105617,
2564.298687369, 1.000387828,
2564.319119345, 1.000308328,
2564.339551420, 1.000150687,
2564.359983295, 1.000357511,
2564.380415270, 1.000261392,
2564.421279317, 1.000365192,
2564.441711190, 1.000352787,
2564.462143262, 1.000249121,
2564.482575234, 1.000329120,
2564.503007106, 1.000241587,
2564.523439177, 1.000277965,
2564.543871148, 1.000250281,
2564.564303018, 1.000256595,
2564.584735088, 1.000248359,
2564.605167057, 1.000234503,
2564.625598926, 1.000395894,
2564.666462962, 1.000368697,
2564.686894830, 1.000243156,
2564.707326897, 1.000409714,
2564.727758863, 1.000268837,
2564.748190829, 1.000328797,
2564.768622795, 1.000395712,
2564.789054760, 1.000270751,
2564.809486724, 1.000112216,
2564.829918688, 1.000296638,
2564.850350652, 1.000246819,
2564.870782715, 1.000221996,
2564.932078502, 1.000244323,
2564.952510463, 1.000230467,
2564.972942424, 1.000236510,
2564.993374484, 1.000304536,
2565.013806344, 1.000178194,
2565.034238304, 1.000189134,
2565.054670363, 1.000257313,
2565.075102221, 1.000249877,
2565.095534179, 1.000224176,
2565.115966237, 1.000201289,
2565.156830050, 1.000158779,
2565.177262107, 1.000149414,
2565.197693962, 0.999976254,
2565.218125918, 0.999812027,
2565.238557972, 0.999987522,
2565.258989927, 1.000239168,
2565.279421781, 1.000315545,
